"M.b1t1"	"M.b1t2"	"M.b1t3"	"M.b2t1"	"M.b2t2"	"M.b2t3"	"M.b3t1"	"M.b3t2"	"M.b3t3"	"H.b1t1"	"H.b1t2"	"H.b1t3"	"H.b2t1"	"H.b2t2"	"H.b2t3"	"H.b3t1"	"H.b3t2"	"H.b3t3"
NA	1334300	NA	1756400	2214300	2584700	1280100	1465300	1153400	NA	670350	NA	2368400	2239000	2560000	2505100	1569100	1130200
2979600	5990200	2087200	6512800	9794600	8635900	7087000	2226100	2481000	3438000	4832100	3024300	7625900	9919200	9868400	8326500	2624400	2313800
9289400	NA	NA	6368600	1486900	6719600	5395900	3231600	3308900	14680000	NA	NA	6013300	10713000	21179000	23302000	3654900	4052100
5366500	5756900	2398000	6834700	7359700	5022700	11041000	7222500	7148500	17233000	18292000	26774000	26962000	25736000	24209000	22897000	25710000	23398000
84177000	20785000	8849200	16250000	10993000	13537000	10900000	9019300	18422000	32555000	21530000	18488000	41284000	29579000	30331000	25208000	19933000	38933000
21489000	19375000	35227000	11451000	10639000	7209700	14148000	16323000	9801500	16586000	11192000	22429000	6683000	6895300	2712300	9099900	10144000	6788600
16342000	27489000	26652000	33747000	24673000	19716000	25669000	16469000	23467000	21823000	20228000	12309000	30373000	25449000	22907000	22089000	15210000	21498000
43210000	27279000	24438000	60152000	73376000	84604000	51944000	41372000	44309000	46247000	33483000	28570000	70054000	89399000	87654000	53540000	49365000	51321000
3038700	1436100	NA	1637700	2127000	2443400	3053600	1794900	1621000	4196600	3714900	NA	3827800	2374000	4938200	2561800	3538100	941050
5124700	3843600	16887000	18044000	18091000	5242500	3836300	9184000	15945000	5934200	3460300	33274000	52199000	48528000	13045000	7295500	22749000	31246000
84350000	90471000	95932000	78123000	104960000	95012000	70202000	81001000	76321000	140220000	98256000	156340000	159390000	219010000	187280000	106330000	117050000	111480000
24801000	33084000	30982000	27637000	30029000	27011000	24378000	17512000	22295000	79956000	36229000	36558000	69209000	48087000	50366000	28738000	79150000	26244000
