Protein.IDs	avg log2 H/M	std log2 H/M	P-value	N log2 H/M	avg log2 I	Ratio.H.M.count.b1t1	Ratio.H.M.count.b1t2	Ratio.H.M.count.b1t3	Ratio.H.M.count.b2t1	Ratio.H.M.count.b2t2	Ratio.H.M.count.b2t3	Ratio.H.M.count.b3t1	Ratio.H.M.count.b3t2	Ratio.H.M.count.b3t3	Ratio.H.M.count.total
 [ ...] [P06748-3 ...]	1.536875	1.50089878041697	0.112324	8	21.1898971130637	2	2	2	1	1	1	1	0	1	11
 [ ...] [P18583-6 ...]	-0.718858333333333	0.804846142002722	0.418167	6	21.2501187378302	1	1	1	1	1	1	0	0	0	6
 [ ...] [P31946-2 ...]	0.288054444444444	0.595306266431638	0.622909	9	26.2309234826859	11	10	13	5	6	7	9	8	9	78
 [ ...] [P62633-2 ...]	-1.39092666666667	0.479769910425821	0.000196	9	28.7733118505198	28	24	32	27	24	26	29	24	27	241
 [ ...] [P62633-4 ...]	-1.26924333333333	0.317391857212815	0.069265	9	23.968417812389	2	2	2	2	3	3	3	1	1	19
 [ ...] [Q15056-2 ...]	0.616698888888888	0.0717379311181413	0.025319	9	27.489459759644	13	17	19	14	15	16	16	12	19	141
 [ ...] [Q15637-5 ...]	1.150195	0.536035875431859	0.273781	6	23.9702150979062	0	0	0	2	2	2	3	2	3	14
 [ ...] [Q15637-6 ...]	0.61559111111111	0.284409255450857	0.056387	9	30.034330058312	51	49	53	65	60	62	52	52	51	495
 [CD74 ...] [P04233-2 ...]	-0.923404444444445	0.484384628268463	0.219078	9	24.8873929450735	3	2	1	2	3	2	1	1	1	16
 [CREM ...] [Q03060-9 ...]	2.71218166666667	0.438821813651813	0.051722	6	24.1221157046424	0	1	2	2	2	3	0	2	0	12
 [FUBP1 ...] [B4E0X8 ...]	0.53091	0.185295066583006	0.033606	9	30.3336611157382	51	57	54	68	55	59	58	57	61	520
 [HLA-C ...] [F8VZB9 ...]	0.690622857142858	1.17412356254519	0.640995	7	23.6202769878908	2	0	0	1	1	2	2	1	1	10
 [HNRNPA3 ...] [P51991-2 ...]	-0.149687777777779	0.16083028118002	0.488896	9	27.7835582878555	25	24	19	21	23	23	21	20	21	197
 [HNRNPK ...] [Q5T6W5 ...]	-0.296194444444445	0.329626134169877	0.563156	9	29.1875511440813	42	35	40	35	30	32	38	36	36	324
 [ILF3 ...] [G5E9M5 ...]	0.851285555555555	0.875470890208678	0.213185	9	25.9661370580083	9	6	7	9	9	11	7	7	6	71
 [LBH ...] [B5MBX5 ...]	0.203842222222223	0.420866602434125	0.802654	9	24.7949966317524	2	2	1	3	4	3	2	3	4	24
 [MBNL1 ...] [Q9NR56-5 ...]	-1.48455875	0.705990390190314	0.29244	8	22.73263027066	0	0	0	2	3	4	1	0	2	12
 [MYL6 ...] [G8JLA2 ...]	-0.65653	0.148682958421602	0.029143	9	30.7042349064582	36	39	43	30	26	25	34	37	40	310
