Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides b1t1	Peptides b1t2	Peptides b1t3	Peptides b2t1	Peptides b2t2	Peptides b2t3	Peptides b3t1	Peptides b3t2	Peptides b3t3	Razor + unique peptides b1t1	Razor + unique peptides b1t2	Razor + unique peptides b1t3	Razor + unique peptides b2t1	Razor + unique peptides b2t2	Razor + unique peptides b2t3	Razor + unique peptides b3t1	Razor + unique peptides b3t2	Razor + unique peptides b3t3	Unique peptides b1t1	Unique peptides b1t2	Unique peptides b1t3	Unique peptides b2t1	Unique peptides b2t2	Unique peptides b2t3	Unique peptides b3t1	Unique peptides b3t2	Unique peptides b3t3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Slice average	Slice 1	Experiment b1t1	Experiment b1t2	Experiment b1t3	Experiment b2t1	Experiment b2t2	Experiment b2t3	Experiment b3t1	Experiment b3t2	Experiment b3t3	PEP	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L b1t1	Ratio H/L normalized b1t1	Ratio H/L variability [%] b1t1	Ratio H/L count b1t1	Ratio H/L b1t2	Ratio H/L normalized b1t2	Ratio H/L variability [%] b1t2	Ratio H/L count b1t2	Ratio H/L b1t3	Ratio H/L normalized b1t3	Ratio H/L variability [%] b1t3	Ratio H/L count b1t3	Ratio H/L b2t1	Ratio H/L normalized b2t1	Ratio H/L variability [%] b2t1	Ratio H/L count b2t1	Ratio H/L b2t2	Ratio H/L normalized b2t2	Ratio H/L variability [%] b2t2	Ratio H/L count b2t2	Ratio H/L b2t3	Ratio H/L normalized b2t3	Ratio H/L variability [%] b2t3	Ratio H/L count b2t3	Ratio H/L b3t1	Ratio H/L normalized b3t1	Ratio H/L variability [%] b3t1	Ratio H/L count b3t1	Ratio H/L b3t2	Ratio H/L normalized b3t2	Ratio H/L variability [%] b3t2	Ratio H/L count b3t2	Ratio H/L b3t3	Ratio H/L normalized b3t3	Ratio H/L variability [%] b3t3	Ratio H/L count b3t3	Sequence coverage b1t1 [%]	Sequence coverage b1t2 [%]	Sequence coverage b1t3 [%]	Sequence coverage b2t1 [%]	Sequence coverage b2t2 [%]	Sequence coverage b2t3 [%]	Sequence coverage b3t1 [%]	Sequence coverage b3t2 [%]	Sequence coverage b3t3 [%]	Intensity	Intensity L	Intensity H	Intensity b1t1	Intensity L b1t1	Intensity H b1t1	Intensity b1t2	Intensity L b1t2	Intensity H b1t2	Intensity b1t3	Intensity L b1t3	Intensity H b1t3	Intensity b2t1	Intensity L b2t1	Intensity H b2t1	Intensity b2t2	Intensity L b2t2	Intensity H b2t2	Intensity b2t3	Intensity L b2t3	Intensity H b2t3	Intensity b3t1	Intensity L b3t1	Intensity H b3t1	Intensity b3t2	Intensity L b3t2	Intensity H b3t2	Intensity b3t3	Intensity L b3t3	Intensity H b3t3	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A2A288;A2A288-4;A2A288-3;B7ZBA4	A2A288;A2A288-4;A2A288-3;B7ZBA4	1;1;1;1	1;1;1;1	1;1;1;1	Probable ribonuclease ZC3H12D	ZC3H12D	>sp|A2A288|ZC12D_HUMAN Probable ribonuclease ZC3H12D OS=Homo sapiens GN=ZC3H12D PE=2 SV=3;>sp|A2A288-4|ZC12D_HUMAN Isoform 3 of Probable ribonuclease ZC3H12D OS=Homo sapiens GN=ZC3H12D;>sp|A2A288-3|ZC12D_HUMAN Isoform 2 of Probable ribonuclease ZC3H12D OS=	4	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	3	3	3	58.077	527	527;321;227;167	1	2					1	1				1.4277E-18	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	0	0	0	3	3	0	0	0	7161500	0	7161500	0	0	0	0	0	0	0	0	0	0	0	0	3676000	0	3676000	3485500	0	3485500	0	0	0	0	0	0	0	0	0				0	1250	True	1274	5697;5698	5924;5925	5924		
P16949-2;P16949;A2A2D0	P16949-2;P16949;A2A2D0	2;2;2	1;1;1	1;1;1	Stathmin	STMN1	>sp|P16949-2|STMN1_HUMAN Isoform 2 of Stathmin OS=Homo sapiens GN=STMN1;>sp|P16949|STMN1_HUMAN Stathmin OS=Homo sapiens GN=STMN1 PE=1 SV=3;>tr|A2A2D0|A2A2D0_HUMAN Stathmin (Fragment) OS=Homo sapiens GN=STMN1 PE=3 SV=1	3	2	1	1	1	0	1	0	2	2	1	1	2	0	0	1	0	1	1	0	0	1	0	0	1	0	1	1	0	0	1	12.6	7.5	7.5	19.823	174	174;149;86	1	4			1		1	1			1	1.0886E-05	0.80986	0.49764	30.975	4	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	5.2	0	7.5	0	12.6	12.6	5.2	5.2	12.6	45565000	26974000	18591000	0	0	0	0	0	0	11187000	5933700	5252900	0	0	0	11908000	7584500	4323500	12543000	7999300	4543500	0	0	0	0	0	0	9927400	5456700	4470700				1	264;443	True;False	271;454	1210;1211;1212;1213;2134;2135;2136;2137;2138;2139;2140	1279;1280;1281;1282;2246;2247;2248;2249;2250;2251	1280;2250		
B4DYX9;P18615;A2ABK1;A2ABK2;E9PD43;A2ABK3	B4DYX9;P18615;A2ABK1;A2ABK2;E9PD43;A2ABK3	2;2;2;2;2;2	2;2;2;2;2;2	2;2;2;2;2;2	Negative elongation factor E	RDBP	>tr|B4DYX9|B4DYX9_HUMAN Negative elongation factor E OS=Homo sapiens GN=RDBP PE=2 SV=1;>sp|P18615|NELFE_HUMAN Negative elongation factor E OS=Homo sapiens GN=RDBP PE=1 SV=3;>tr|A2ABK1|A2ABK1_HUMAN Negative elongation factor E (Fragment) OS=Homo sapiens GN=	6	2	2	2	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	5.7	5.7	5.7	43.924	387	387;380;334;294;260;240	1	2				1	1					1.6722E-11	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	0	0	5.7	5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				2	544;1395	True;True	557;1421	2593;6340	2726;6565	2726;6565		
A4D1E1	A4D1E1	1	1	1	Zinc finger protein 804B	ZNF804B	>sp|A4D1E1|Z804B_HUMAN Zinc finger protein 804B OS=Homo sapiens GN=ZNF804B PE=1 SV=2	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.7	0.7	0.7	152.57	1349	1349	1	1				1						0.002388	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	0	0	0.7	0	0	0	0	0	144420000	140440000	3976100	0	0	0	0	0	0	0	0	0	144420000	140440000	3976100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				3	1277	True	1301	5827	6070	6070		
P30044;A6NG06;P30044-2;A6NC19	P30044;A6NG06;P30044-2;A6NC19	1;1;1;1	1;1;1;1	1;1;1;1	Peroxiredoxin-5, mitochondrial	PRDX5	>sp|P30044|PRDX5_HUMAN Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5 PE=1 SV=4;>tr|A6NG06|A6NG06_HUMAN Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5 PE=4 SV=1;>sp|P30044-2|PRDX5_HUMAN Isoform Cytoplasmic+peroxisomal of Peroxiredoxin-5, 	4	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	10.7	10.7	10.7	22.086	214	214;170;162;125	1	3						1	1	1		7.1294E-08	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	0	0	0	0	10.7	10.7	10.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				4	168	True	174	734;735;736	768;769;770	770		
A6NCD9;Q5T6N4;O14639;A6NKJ2;F8W8M4;O14639-2;F8WAB0;Q5T6N2;F8WAB1;H0Y3K7;Q5JVV3;O14639-5;O14639-3;O14639-4;F6XFR5;H0Y7N6	A6NCD9;Q5T6N4;O14639;A6NKJ2;F8W8M4;O14639-2;F8WAB0;Q5T6N2;F8WAB1;H0Y3K7;Q5JVV3;O14639-5;O14639-3;O14639-4;F6XFR5;H0Y7N6	3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2	3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2	3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2	Actin-binding LIM protein 1	ABLIM1	>tr|A6NCD9|A6NCD9_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1 PE=4 SV=2;>tr|Q5T6N4|Q5T6N4_HUMAN Actin binding LIM protein 1 OS=Homo sapiens GN=ABLIM1 PE=2 SV=1;>sp|O14639|ABLM1_HUMAN Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1 PE=	16	3	3	3	1	1	0	0	0	2	1	0	0	1	1	0	0	0	2	1	0	0	1	1	0	0	0	2	1	0	0	6.1	6.1	6.1	95.54	846	846;846;778;746;718;718;702;702;655;652;530;455;427;401;173;172	1	5	1	1				2	1			1.2572E-36	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0.9	2	0	0	0	4.1	0.9	0	0	6153500	1328200	4825300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6153500	1328200	4825300	0	0	0	0	0	0	0	0	0				5	137;917;2134	True;True;True	142;936;2191	622;4166;4167;4168;9632	655;4312;4313;4314;10043	655;4313;10043		
Q15583;Q15583-3;Q15583-2;A6NE42;F8VVS9;F8VUY0;F8VWK5;F8VZH2;F8VX54;F8VW34;F8VYL4;F8VXG3;Q9GZN2;H0YKN5;H0YNI0;F8W1J9	Q15583;Q15583-3;Q15583-2;A6NE42;F8VVS9;F8VUY0;F8VWK5;F8VZH2;F8VX54;F8VW34	5;5;5;5;4;4;3;3;3;3;2;2;1;1;1;1	5;5;5;5;4;4;3;3;3;3;2;2;1;1;1;1	5;5;5;5;4;4;3;3;3;3;2;2;1;1;1;1	Homeobox protein TGIF1	TGIF1	>sp|Q15583|TGIF1_HUMAN Homeobox protein TGIF1 OS=Homo sapiens GN=TGIF1 PE=1 SV=3;>sp|Q15583-3|TGIF1_HUMAN Isoform 3 of Homeobox protein TGIF1 OS=Homo sapiens GN=TGIF1;>sp|Q15583-2|TGIF1_HUMAN Isoform 2 of Homeobox protein TGIF1 OS=Homo sapiens GN=TGIF1;>tr	16	5	5	5	3	1	2	4	3	3	3	2	1	3	1	2	4	3	3	3	2	1	3	1	2	4	3	3	3	2	1	17.5	17.5	17.5	43.012	401	401;286;272;252;246;219;168;138;133;131;118;92;237;174;155;132	1	22	3	1	2	4	3	3	3	2	1	6.8741E-183	2.6725	1.8262	64.099	15	NaN	NaN	NaN	2	NaN	NaN	NaN	1	NaN	NaN	NaN	1	NaN	NaN	NaN	2	NaN	NaN	NaN	2	NaN	NaN	NaN	2	NaN	NaN	NaN	2	NaN	NaN	NaN	2	NaN	NaN	NaN	1	9.5	3.7	7.2	12	9.5	12.7	9.5	7.2	3.7	122080000	28802000	93276000	14377000	3333500	11043000	8375400	2416100	5959300	7394400	307860	7086500	18210000	2869000	15341000	15597000	3678500	11919000	16406000	3406000	13000000	15394000	5778900	9615100	15103000	3796300	11307000	11221000	3215400	8005700				6	7;166;1077;1567;2510	True;True;True;True;True	7;172;1099;1614;2576	40;41;42;43;716;4968;4969;4970;4971;4972;4973;4974;7061;7062;7063;7064;7065;7066;7067;7068;7069;11332	47;48;49;50;749;5186;5187;5188;5189;5190;5191;5192;7314;7315;7316;7317;7318;7319;7320;7321;7322;11760	47;749;5188;7317;11760		
Q969T9;A6NG10;B4DFG2;E7EX86	Q969T9;A6NG10;B4DFG2;E7EX86	2;2;1;1	2;2;1;1	2;2;1;1	WW domain-binding protein 2	WBP2	>sp|Q969T9|WBP2_HUMAN WW domain-binding protein 2 OS=Homo sapiens GN=WBP2 PE=1 SV=1;>tr|A6NG10|A6NG10_HUMAN WW domain-binding protein 2 OS=Homo sapiens GN=WBP2 PE=2 SV=2;>tr|B4DFG2|B4DFG2_HUMAN WW domain-binding protein 2 OS=Homo sapiens GN=WBP2 PE=2 SV=1;	4	2	2	2	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	0	0	1	9.2	9.2	9.2	28.087	261	261;239;216;209	1	5	1	1		1	1				1	1.7695E-14	2.1545	1.3727	13.029	3	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	5.4	5.4	0	5.4	3.8	0	0	0	3.8	67752000	20133000	47619000	0	0	0	0	0	0	0	0	0	6611500	1593700	5017700	33987000	9631200	24356000	0	0	0	0	0	0	0	0	0	27153000	8908500	18245000				7	83;1510	True;True	86;1552	386;387;388;6852;6853	402;403;404;7096;7097	404;7096		
A6NG51;Q13813-2;Q13813;F8W7K3;Q13813-3;B4DGT1;A6NN88	A6NG51;Q13813-2;Q13813;F8W7K3;Q13813-3;B4DGT1	10;10;10;9;9;5;1	10;10;10;9;9;5;1	10;10;10;9;9;5;1	Spectrin alpha chain, brain	SPTAN1	>tr|A6NG51|A6NG51_HUMAN Spectrin alpha chain, brain OS=Homo sapiens GN=SPTAN1 PE=4 SV=2;>sp|Q13813-2|SPTN1_HUMAN Isoform 2 of Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1;>sp|Q13813|SPTN1_HUMAN Spectrin alpha chain, non-erythrocytic 1	7	10	10	10	1	4	6	3	1	3	4	3	4	1	4	6	3	1	3	4	3	4	1	4	6	3	1	3	4	3	4	5.7	5.7	5.7	284.94	2477	2477;2477;2472;2452;2452;1312;494	1	29	1	4	6	3	1	3	4	3	4	2.7876E-133	1.7417	1.201	47.513	23	NaN	NaN	NaN	1	1.2184	0.8014	46.174	4	1.5739	1.0751	45.65	4	NaN	NaN	NaN	2	NaN	NaN	NaN	1	1.6006	0.97607	40.217	3	1.4755	0.93433	49.781	4	NaN	NaN	NaN	1	2.4176	1.6176	29.739	3	0.4	2.1	3.3	1.9	0.6	1.5	2.1	1.9	2.3	278880000	106290000	172590000	24628000	13539000	11089000	63859000	26130000	37729000	56416000	23942000	32473000	21171000	6796600	14374000	10802000	3486700	7315700	25474000	8346400	17128000	43412000	16024000	27387000	3988900	1159300	2829700	29126000	6864100	22262000				8	429;472;571;1247;1278;1279;1398;1618;1924;2346	True;True;True;True;True;True;True;True;True;True	440;485;586;1271;1302;1303;1424;1667;1979;2408	2061;2274;2738;5687;5688;5828;5829;5830;5831;5832;5833;5834;5835;6344;6345;6346;7299;7300;7301;8618;8619;8620;8621;8622;10649;10650;10651;10652;10653	2170;2402;2876;5915;5916;6071;6072;6073;6074;6075;6076;6077;6569;6570;6571;7556;7557;7558;8956;8957;8958;8959;8960;11092;11093;11094;11095;11096	2170;2402;2876;5916;6074;6077;6569;7556;8958;11094		
Q9H0Z9;A6NG75;F6VZ39	Q9H0Z9;A6NG75;F6VZ39	1;1;1	1;1;1	1;1;1	RNA-binding protein 38	RBM38	>sp|Q9H0Z9|RBM38_HUMAN RNA-binding protein 38 OS=Homo sapiens GN=RBM38 PE=1 SV=2;>tr|A6NG75|A6NG75_HUMAN RNA binding motif protein 38 OS=Homo sapiens GN=RBM38 PE=4 SV=1;>tr|F6VZ39|F6VZ39_HUMAN RNA-binding protein 38 OS=Homo sapiens GN=RBM38 PE=4 SV=1	3	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	8.4	8.4	8.4	25.498	239	239;158;123	1	2				1	1					9.2493E-06	NaN	NaN	NaN	2	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	1	NaN	NaN	NaN	1	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	NaN	NaN	NaN	0	0	0	0	8.4	8.4	0	0	0	0	23076000	15380000	7695200	0	0	0	0	0	0	0	0	0	10146000	6387900	3758300	12929000	8992500	3936900	0	0	0	0	0	0	0	0	0	0	0	0				9	1925	True	1980	8623;8624	8961	8961		
