""	"A"	"Coef"	"t"	"p.value"	"p.value.adj"	"F"	"F.p.value"	"ID"	"M1"	"M2"	"M3"	"M4"	"M5"	"M6"	"M7"	"M8"	"M9"	"H1"	"H2"	"H3"	"H4"	"H5"	"H6"	"H7"	"H8"	"H9"	"N"	"log2.avg.H.M"	"log2.sd.H.M"	"log2.N.H.M"	"log2.avg.I"	"log2.H.M.1"	"log2.H.M.2"	"log2.H.M.3"	"log2.H.M.4"	"log2.H.M.5"	"log2.H.M.6"	"log2.H.M.7"	"log2.H.M.8"	"log2.H.M.9"	"nID"
"Mitochondrial import inner membrane translocase subunit Tim10 [TIMM10 ...] [P62072 ...]"	25.69	-3.855	-13.18	0	0	173.63	0	"Mitochondrial import inner membrane translocase subunit Tim10 [TIMM10 ...] [P62072 ...]"	27.075889473025	27.4381326269521	27.6510584962083	27.7877547159281	27.6461935409092	27.5894434150249	27.8464655803581	27.6786403048329	27.8025820604911	24.8522379273696	23.6436348746877	23.7403988175026	23.8166886058401	24.0166627567634	24.2130934106738	23.4310981612701	22.9979980876853	23.1081849660824	18	-3.85512888888889	0.763361131124129	9	27.7313177945411	-2.22365	-3.7945	-3.91066	-3.97106	-3.62953	-3.37635	-4.41537	-4.68064	-4.6944	1
"Dynactin subunit 2 [DCTN2 ...] [F5H2S7 ...]"	24.06	-3.334	-2.61	0.01761	0.068211	6.82	0.01761	"Dynactin subunit 2 [DCTN2 ...] [F5H2S7 ...]"	28.6261598209843	27.1546814439407	27.0782564623895	25.8095848436329	20.5341385042781	20.994129803613	27.3686676446826	27.3466786639293	26.5868525612237	24.0405847646722	23.2327200720564	23.313853702877	20.2064110303696	20.5341385042781	20.1326306812611	23.334866276802	23.3937754964041	23.3074307301655	18	-3.33363777777778	1.78013630133185	9	27.0903296249786	-4.58558	-3.92196	-3.76441	-5.60317	0	-0.861499999999999	-4.0338	-3.9529	-3.27942	2
"Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial [DUT ...] [P33316 ...]"	25.37	-3.253	-9.76	0	1e-06	95.19	0	"Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial [DUT ...] [P33316 ...]"	25.5116510886825	26.0271971799533	26.6515375077824	27.6819759267722	27.792730334909	27.7045931827933	27.2911285485755	27.1151503007645	27.1826897472796	23.3345742330334	23.3248392264349	23.881059871816	23.735563300943	24.1119712191595	24.1565372106254	23.6803718859605	23.5833558536194	23.8749089339314	18	-3.25283111111111	0.575892231269107	9	27.2919335436292	-2.17708	-2.70236	-2.77048	-3.94642	-3.68076	-3.54805	-3.61076	-3.53179	-3.30778	3
"Guanine nucleotide-binding protein subunit gamma [GNG2 ...] [G3V3J9 ...]"	23.39	-3.079	-3.05	0.00689	0.031947	9.28	0.00689	"Guanine nucleotide-binding protein subunit gamma [GNG2 ...] [G3V3J9 ...]"	22.752812924666	26.5606479375281	26.5949110699324	26.3429093630226	22.9479383130468	22.874240421289	23.694913891711	26.2236593649504	26.3370803624027	22.0278747387332	21.3788642746455	21.5035672273143	22.6255806390158	23.0521821887655	21.4388212606616	21.4656581943985	21.3614509569336	21.7639607052647	18	-3.07901777777778	2.04294460841317	9	25.7899805466501	-0.72494	-5.18179	-5.09134	-3.71733	0.104240000000001	-1.43542	-2.22925	-4.86221	-4.57312	4
"Arginine-glutamic acid dipeptide repeats protein [RERE ...] [Q9P2R6 ...]"	22.5	-3.047	-9.43	0	1e-06	88.96	0	"Arginine-glutamic acid dipeptide repeats protein [RERE ...] [Q9P2R6 ...]"	23.9427022550106	23.8796339516273	23.73486587067	24.0239133295093	24.1119712191595	24.0466051823246	24.4749200365675	24.0123463168533	23.9611195644224	21.2865974398043	19.8626686398759	21.0801883163032	20.7511154594513	21.3424202537144	21.2958805461954	21.324552983302	21.3964388976258	20.4238120863582	18	-3.04715555555556	0.48736579650482	9	24.2056309620521	-2.6561	-4.01696	-2.65468	-3.27279	-2.76955	-2.75073	-3.15037	-2.61591	-3.53731	5
"14 kDa phosphohistidine phosphatase [PHPT1 ...] [Q9NRX4 ...]"	23.26	-2.706	-6.08	1e-05	0.000196	36.95	1e-05	"14 kDa phosphohistidine phosphatase [PHPT1 ...] [Q9NRX4 ...]"	23.1970038269471	25.0605907327591	25.3360584117225	24.0811841323881	24.7105147844557	24.5671390086005	24.823615246177	24.8714093842904	24.9072727875449	22.6334285498494	22.2255062858431	21.7003495228578	20.8646354239743	21.7318701519855	22.2982866667283	21.916655583544	21.889752460147	21.936693813297	18	-2.70639888888889	0.879167711580738	9	24.9220347118838	-0.563569999999999	-2.83508	-3.63571	-3.21654	-2.97864	-2.26885	-2.90696	-2.98166	-2.97058	6
"UV excision repair protein RAD23 homolog A [RAD23A ...] [P54725 ...]"	23.93	-2.566	-3.53	0.00239	0.015721	12.43	0.00239	"UV excision repair protein RAD23 homolog A [RAD23A ...] [P54725 ...]"	26.2924769613677	23.7206726962089	23.8698875341603	23.5415673276529	23.3286451565242	26.1589671168814	26.7934779699996	26.5554817520771	26.6563595788616	22.6164941283138	23.1111169163207	23.0293225437479	22.6094279363307	22.4028026399446	22.2478233065013	22.4036054144741	22.2406550204771	23.1647950517854	18	-2.56572222222222	1.67509089009207	9	25.9677163181521	-3.67599	-0.609549999999999	-0.840570000000003	-0.93214	-0.925850000000001	-3.91115	-4.38987	-4.31482	-3.49156	7
"Prothymosin alpha [PTMA ...] [P06454 ...]"	24.76	-2.553	-4.63	2e-04	0.002245	21.42	2e-04	"Prothymosin alpha [PTMA ...] [P06454 ...]"	25.924080087219	26.1736128221368	25.8230454346985	26.1089612028104	26.1158777721749	26.237066883038	25.5687085823431	26.2385256785116	26.1172057534929	22.1354964533518	23.1239177760889	22.0809242376271	23.6109093406905	24.8198846356854	25.2217615506942	24.6468215009262	22.2743998053634	23.4173248808433	18	-2.55285222222222	1.2149244972711	9	26.3445900318588	-3.78858	-3.04969	-3.74213	-2.49805	-1.296	-1.01531	-0.921889999999998	-3.96413	-2.69989	8
"Coiled-coil domain-containing protein 50 [CCDC50 ...] [Q8IVM0 ...]"	23.75	-2.407	-2.31	0.03277	0.109005	5.34	0.03277	"Coiled-coil domain-containing protein 50 [CCDC50 ...] [Q8IVM0 ...]"	24.0330010396437	23.796896676105	23.3087445663036	24.8579765698735	23.7292957899661	25.4480831023093	27.4627197810985	23.608190730835	28.2917122184696	23.1204923598167	22.3040102191872	21.7685479750026	24.6070751265189	22.7554687777105	22.5279978504874	20.1903745243673	22.886089954565	22.7151230668324	18	-2.40682666666667	2.43267524301436	9	26.2752824244031	-0.912510000000001	-1.49289	-1.54019	-0.250900000000001	-0.97383	-2.92008	-7.27235	-0.722100000000001	-5.57659	9
"Acyl-CoA-binding protein [DBI ...] [P07108 ...]"	25.78	-2.256	-4.37	0.00036	0.003531	19.08	0.00036	"Acyl-CoA-binding protein [DBI ...] [P07108 ...]"	27.9730526944486	27.412621967286	27.9322147389498	27.3650816034719	26.5887235103871	26.5219840942942	24.5976530849113	27.2699336236038	26.5388499945611	24.7725474641034	24.4001598176783	25.1224272361268	24.4892242958072	24.9292956205298	24.2813417673521	24.9605027763363	24.4196809059536	24.5218816506483	18	-2.25589222222222	1.10566710275717	9	27.4014426291806	-3.2005	-3.01246	-2.80978	-2.87586	-1.65942	-2.24064	0.362849999999998	-2.85025	-2.01697	10
